Date,State,CONTRIBUTOR ID,LGA,Outlet Type,Latitude,Longitude,Country,Sector,Food Item,UOM,Quantity,Price Category,Price,Weight,UPRICE
2025-01-08,OSUN,1,OLORUNDA,Open air or covered market,7.8188305,4.5876656,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1200.0,1.6,750.0
2025-01-08,KADUNA,20,ZARIA,RoadSide shops street vendors,11.1278967,7.7061552,Nigeria,Urban,Sorghum,1.5,1.0,Retail,850.0,1.5,566.67
2025-01-08,KADUNA,20,ZARIA,Open air or covered market,11.1278967,7.7061572,Nigeria,Urban,Sorghum,1.5,1.0,Retail,850.0,1.5,566.67
2025-01-08,KADUNA,20,ZARIA,Bulk and discount stores,11.1356284,7.7000726,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-06,EBONYI,6,IVO,Local village market,5.9542445,7.5614443,Nigeria,Rural,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,OGUN,17,ABEOKUTA SOUTH,RoadSide shops street vendors,7.1397294,3.3363914,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,OGUN,17,ABEOKUTA SOUTH,Open air or covered market,7.1391114,3.3367132,Nigeria,Urban,Sorghum,1.6,1.0,Retail,2000.0,1.6,1250.0
2025-01-08,OGUN,17,ABEOKUTA SOUTH,RoadSide shops street vendors,7.1399897,3.3364137,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,KATSINA,3,FUNTUA,Neighborhood shops kiosk,11.5250472,7.3411558,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1600.0,1.5,1066.67
2025-01-08,KATSINA,3,FUNTUA,Neighborhood shops kiosk,11.52494,7.3410078,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-08,KATSINA,3,FUNTUA,Neighborhood shops kiosk,11.5249325,7.3412207,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-08,ZAMFARA,5,TALATA MAFARA,RoadSide shops street vendors,12.5655393,6.0681673,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,OYO,27,IBARAPA CENTRAL,Open air or covered market,7.4346265,3.2962677,Nigeria,Rural,Sorghum,1.6,1.0,Retail,1500.0,1.6,937.5
2025-01-08,OYO,27,IBARAPA CENTRAL,Neighborhood shops kiosk,7.4125023,3.2962469,Nigeria,Rural,Sorghum,1.6,1.0,Retail,1600.0,1.6,1000.0
2025-01-08,LAGOS,30,SURULERE,Neighborhood shops kiosk,6.507297,3.3248062,Nigeria,Rural,Sorghum,0.22,1.0,Retail,800.0,0.22,3636.36
2024-12-28,EBONYI,5,AFIKPO NORTH,Open air or covered market,5.8827791,7.9374344,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,NIGER,9,CHANCHAGA,Open air or covered market,9.6168143,6.5502716,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,NIGER,21,CHANCHAGA,Open air or covered market,9.6160771,6.5497025,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,NIGER,10,CHANCHAGA,RoadSide shops street vendors,9.5992683,6.5253161,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1300.0,1.5,866.67
2025-01-08,BAUCHI,17,DARAZO,Open air or covered market,10.999404,10.4096942,Nigeria,Urban,Sorghum,1.5,1.0,Retail,700.0,1.5,466.67
2025-01-08,OGUN,13,ABEOKUTA NORTH,Neighborhood shops kiosk,7.1686672,3.3042602,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1600.0,1.6,1000.0
2025-01-08,OGUN,13,ABEOKUTA NORTH,Neighborhood shops kiosk,7.1665324,3.3036322,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1500.0,1.6,937.5
2025-01-08,OGUN,13,ABEOKUTA NORTH,Neighborhood shops kiosk,7.1751268,3.3034203,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1600.0,1.6,1000.0
2025-01-08,AKWA IBOM,16,ORON,RoadSide shops street vendors,4.8165751,8.2323482,Nigeria,Urban,Sorghum,0.15,1.0,Retail,350.0,0.15,2333.33
2025-01-08,NIGER,9,CHANCHAGA,Open air or covered market,9.6154326,6.5505388,Nigeria,Urban,Sorghum,1.5,1.0,Retail,950.0,1.5,633.33
2025-01-08,ONDO,14,AKURE SOUTH,Open air or covered market,7.2299709,5.1875091,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1600.0,1.6,1000.0
2025-01-08,TARABA ,12,JALINGO,Neighborhood shops kiosk,8.9117274,11.3369614,Nigeria,Urban,Sorghum,1.5,8.0,Retail,2000.0,12.0,166.67
2025-01-08,TARABA ,12,JALINGO,Open air or covered market,8.9117589,11.3370771,Nigeria,Urban,Sorghum,1.5,8.0,Retail,2000.0,12.0,166.67
2025-01-08,TARABA ,12,JALINGO,RoadSide shops street vendors,8.9105333,11.3374627,Nigeria,Urban,Sorghum,1.5,5.0,Retail,2000.0,7.5,266.67
2025-01-05,EKITI,13,IDO/OSI,Neighborhood shops kiosk,7.9241928,5.1422166,Nigeria,Rural,Sorghum,1.6,1.0,Retail,1100.0,1.6,687.5
2025-01-05,EKITI,13,IDO/OSI,Neighborhood shops kiosk,7.9238898,5.1428298,Nigeria,Rural,Sorghum,1.6,1.0,Retail,1200.0,1.6,750.0
2025-01-05,EKITI,13,IDO/OSI,Neighborhood shops kiosk,7.9235762,5.143499,Nigeria,Rural,Sorghum,1.6,1.0,Retail,1300.0,1.6,812.5
2024-12-16,EKITI,9,ISE/ORUN,RoadSide shops street vendors,7.4640594,5.4242047,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,NIGER,7,CHANCHAGA,RoadSide shops street vendors,9.5570018,6.5939673,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,KATSINA,5,MUSAWA,Neighborhood shops kiosk,12.1279311,7.675767,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,KATSINA,5,MUSAWA,Supermarket,12.1279665,7.6757162,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,KATSINA,15,MUSAWA,Supermarket,12.1281016,7.6757215,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,LAGOS,2,ALIMOSHO,Neighborhood shops kiosk,6.5453331,3.2275316,Nigeria,Urban,Sorghum,0.22,1.0,Retail,800.0,0.22,3636.36
2025-01-08,LAGOS,2,ALIMOSHO,RoadSide shops street vendors,6.5441017,3.2282417,Nigeria,Urban,Sorghum,1.6,1.0,Retail,4500.0,1.6,2812.5
2025-01-08,LAGOS,2,ALIMOSHO,Open air or covered market,6.543633,3.2288362,Nigeria,Urban,Sorghum,1.6,1.0,Retail,4500.0,1.6,2812.5
2025-01-08,CROSS RIVER,11,AKAMKPA  BUYO,RoadSide shops street vendors,5.2891266,8.3589964,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,OYO,4,OYO EAST,Neighborhood shops kiosk,7.7999243,3.9400042,Nigeria,Urban,Sorghum,1.6,1.0,Wholesale,1800.0,1.6,1125.0
2025-01-08,OYO,4,OYO EAST,Neighborhood shops kiosk,7.8017952,3.9436784,Nigeria,Urban,Sorghum,1.6,1.0,Wholesale,1800.0,1.6,1125.0
2025-01-08,OYO,4,OYO EAST,Neighborhood shops kiosk,7.8356945,3.9366137,Nigeria,Urban,Sorghum,1.6,1.0,Wholesale,1850.0,1.6,1156.25
2025-01-08,LAGOS,30,SURULERE,Neighborhood shops kiosk,6.5073248,3.3247625,Nigeria,Rural,Sorghum,0.22,1.0,Retail,800.0,0.22,3636.36
2025-01-08,BAUCHI,17,DARAZO,RoadSide shops street vendors,10.9987697,10.40981,Nigeria,Urban,Sorghum,1.5,1.0,Retail,700.0,1.5,466.67
2025-01-08,NIGER,9,CHANCHAGA,RoadSide shops street vendors,9.6122557,6.5445639,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1100.0,1.5,733.33
2025-01-08,CROSS RIVER,11,AKAMKPA  BUYO,RoadSide shops street vendors,5.2902962,8.3584697,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,CROSS RIVER,11,AKAMKPA  BUYO,RoadSide shops street vendors,5.2906991,8.3587614,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,RIVERS,14,PORT HARCOURT,Neighborhood shops kiosk,4.7599351,7.0231426,Nigeria,Urban,Sorghum,0.15,1.0,Retail,350.0,0.15,2333.33
2025-01-08,RIVERS,14,PORT HARCOURT,Neighborhood shops kiosk,4.759965,7.0244321,Nigeria,Urban,Sorghum,0.15,1.0,Wholesale,350.0,0.15,2333.33
2025-01-08,RIVERS,14,PORT HARCOURT,Neighborhood shops kiosk,4.7599502,7.0243984,Nigeria,Urban,Sorghum,0.15,1.0,Retail,350.0,0.15,2333.33
2025-01-08,NIGER,8,CHANCHAGA,Open air or covered market,9.6168424,6.5331441,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,RIVERS,11,PORT HARCOURT,City market,4.8027891,6.9905938,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-08,RIVERS,11,PORT HARCOURT,City market,4.80275,6.99049,Nigeria,Urban,Sorghum,100.0,1.0,Retail,150000.0,100.0,1500.0
2025-01-08,RIVERS,11,PORT HARCOURT,City market,4.8029135,6.9906352,Nigeria,Urban,Sorghum,0.15,1.0,Retail,300.0,0.15,2000.0
2025-01-07,EKITI,10,ADO EKITI,City market,7.6234998,5.2222577,Nigeria,Urban,Sorghum,1.6,1.0,Wholesale,1500.0,1.6,937.5
2025-01-07,EKITI,10,ADO EKITI,Neighborhood shops kiosk,7.6276592,5.2266778,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1700.0,1.6,1062.5
2025-01-07,EKITI,10,ADO EKITI,Open air or covered market,7.6442789,5.2398516,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1700.0,1.6,1062.5
2025-01-08,KWARA,11,ILORIN WEST,Open air or covered market,8.4503353,4.5786687,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1200.0,1.5,800.0
2025-01-08,KWARA,11,ILORIN WEST,Neighborhood shops kiosk,8.4517063,4.5745,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1300.0,1.5,866.67
2025-01-08,KWARA,11,ILORIN WEST,RoadSide shops street vendors,8.4543846,4.5768532,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1250.0,1.5,833.33
2025-01-08,FCT,8,MUNICIPAL AREA COUNCIL,City market,9.0094319,7.5742879,Nigeria,Urban,Sorghum,1.5,1.0,Farmgate,1200.0,1.5,800.0
2025-01-08,OYO,19,IBADAN SOUTH EAST,RoadSide shops street vendors,7.3608798,3.9074233,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,ONDO,14,AKURE SOUTH,RoadSide shops street vendors,7.23012,5.1874782,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1700.0,1.6,1062.5
2024-12-23,EBONYI,12,IKWO,Local village market,6.1565711,8.1399451,Nigeria,Rural,Sorghum,0.15,1.0,Retail,600.0,0.15,4000.0
2025-01-08,AKWA IBOM,5,ITU,City market,5.0471011,7.8984132,Nigeria,Urban,Sorghum,0.15,1.0,Retail,250.0,0.15,1666.67
2025-01-08,BAUCHI,17,DARAZO,Open air or covered market,10.9997147,10.4108224,Nigeria,Urban,Sorghum,100.0,1.0,Retail,70000.0,100.0,700.0
2024-12-16,EKITI,9,ISE/ORUN,City market,7.4642599,5.4241983,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1600.0,1.6,1000.0
2025-01-08,KEBBI,8,ZURU,RoadSide shops street vendors,11.4389444,5.2370414,Nigeria,Urban,Sorghum,1.5,1.0,Retail,850.0,1.5,566.67
2025-01-08,KEBBI,8,ZURU,RoadSide shops street vendors,11.4387695,5.2370361,Nigeria,Urban,Sorghum,1.5,1.0,Retail,850.0,1.5,566.67
2025-01-08,KEBBI,8,ZURU,RoadSide shops street vendors,11.4420413,5.2486112,Nigeria,Urban,Sorghum,1.5,1.0,Retail,850.0,1.5,566.67
2025-01-08,BENUE,6,MAKURDI,Open air or covered market,7.713027,8.5538793,Nigeria,Urban,Sorghum,1.5,1.0,Wholesale,1400.0,1.5,933.33
2025-01-08,JIGAWA,10,RINGIM,RoadSide shops street vendors,12.1516031,9.1609044,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1400.0,1.5,933.33
2025-01-08,JIGAWA,10,RINGIM,RoadSide shops street vendors,12.153126,9.1606106,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1400.0,1.5,933.33
2025-01-08,JIGAWA,10,RINGIM,RoadSide shops street vendors,12.151506,9.1592428,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1400.0,1.5,933.33
2025-01-08,RIVERS,20,ELEME,Specialized stores,4.8208566,7.0915243,Nigeria,Rural,Sorghum,100.0,1.0,Wholesale,152000.0,100.0,1520.0
2025-01-08,RIVERS,20,ELEME,Open air or covered market,4.8209923,7.0914979,Nigeria,Rural,Sorghum,0.15,1.0,Retail,500.0,0.15,3333.33
2025-01-08,RIVERS,20,ELEME,RoadSide shops street vendors,4.8207937,7.091532,Nigeria,Rural,Sorghum,0.15,1.0,Retail,500.0,0.15,3333.33
2025-01-08,LAGOS,30,SURULERE,Neighborhood shops kiosk,6.5070412,3.3243961,Nigeria,Rural,Sorghum,0.22,1.0,Retail,800.0,0.22,3636.36
2025-01-08,DELTA,1,ETHIOPE WEST,Local village market,5.9310292,5.6605436,Nigeria,Rural,Sorghum,0.15,1.0,Retail,400.0,0.15,2666.67
2025-01-08,TARABA ,9,WUKARI,Local village market,7.891251,9.6872215,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1000.0,1.5,666.67
2025-01-08,BENUE,6,MAKURDI,Open air or covered market,7.7123476,8.5541809,Nigeria,Urban,Sorghum,1.5,1.0,Wholesale,1400.0,1.5,933.33
2025-01-08,TARABA ,10,LAU,Local village market,9.2082072,11.2741838,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,TARABA ,10,LAU,Local village market,9.2081263,11.2740716,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,TARABA ,10,LAU,Local village market,9.2084091,11.2734303,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,AKWA IBOM,5,ITU,City market,5.0472088,7.8990662,Nigeria,Urban,Sorghum,0.15,1.0,Retail,250.0,0.15,1666.67
